"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @bambkb: 🚨🚨🚨Holy fuck - “the Canadian army has lost 3000 - 5000 members after the #Covid #Vaccine and they are frankly out of business”😱…",FALSE,0,NA,2023-04-27 06:16:08,FALSE,NA,"1651470264058761216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Summermama5",266,TRUE,FALSE,NA,NA
"2","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 06:14:27,FALSE,NA,"1651469840920752128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KevinGa99694578",1691,TRUE,FALSE,NA,NA
"3","“Kids with multisystem inflammatory syndrome #MISC - a condition linked w the virus that causes #COVID19 - have bio… https://t.co/wXiEjTz67T",FALSE,1,NA,2023-04-27 06:14:05,TRUE,NA,"1651469749790859266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LongCovidKids",0,FALSE,FALSE,NA,NA
"4","RT @faradoost: I received the @ihs_official short stay #scholarship before #COVID but had to wait till now.
Today I am in the Danish #Heada…",FALSE,0,NA,2023-04-27 06:12:20,FALSE,NA,"1651469308734894080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","faradoost",2,TRUE,FALSE,NA,NA
"5","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:11:49,FALSE,NA,"1651469179462070272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Myke_Oxmaul_",59,TRUE,FALSE,NA,NA
"6","RT @pippa_matt: Barriers and failures ⁦in the road to #hepatitis #elimination: advocacy and education needed to achieve targets for 2025 an…",FALSE,0,NA,2023-04-27 06:11:43,FALSE,NA,"1651469153360904192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RaqPeck",6,TRUE,FALSE,NA,NA
"7","The Christian is an associate of the Godkind; he’s not meant to be sick or carrier of #covid or injected with the… https://t.co/DnoMtkV6yH",FALSE,1,NA,2023-04-27 06:11:38,TRUE,NA,"1651469130057371648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmAlive2God",0,FALSE,FALSE,NA,NA
"8","RT @EATegrity_Sonia: “You are all cowards, every single one of you” says man in crowd to group of editors of U.S. media ~ all true and we h…",FALSE,0,NA,2023-04-27 06:11:14,FALSE,NA,"1651469029930852353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roy_plath",3,TRUE,FALSE,NA,NA
"9","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 06:11:07,FALSE,NA,"1651469002344890369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kramm_elizabeth",1691,TRUE,FALSE,NA,NA
"10","RT @DavidQuammen: Grrazie mille, Giulia &amp; @adelphiedizioni. Yes, this #Covid pandemic is still not over, and yet we must contemplate &amp; brac…",FALSE,0,NA,2023-04-27 06:10:24,FALSE,NA,"1651468820769284097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","la_kuzzo",12,TRUE,FALSE,NA,NA
"11","“Early in the pandemic, scientists began testing an old #TB vaccine against the coronavirus. But the trial enrolled… https://t.co/ETyshMZOyw",FALSE,0,NA,2023-04-27 06:10:14,TRUE,NA,"1651468777756807169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ehwoza",0,FALSE,FALSE,NA,NA
"12","RT @AmAlive2God: Make una listin, I don give una pawa to waka on-top snake and skorpion and to ovakom all di enemy pawa and the so called #…",FALSE,0,NA,2023-04-27 06:09:26,FALSE,NA,"1651468576568532995",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oscardelaranto",1,TRUE,FALSE,NA,NA
"13","Make una listin, I don give una pawa to waka on-top snake and skorpion and to ovakom all di enemy pawa and the so c… https://t.co/iKdL8k1cAp",FALSE,2,NA,2023-04-27 06:09:10,TRUE,NA,"1651468513033289729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmAlive2God",1,FALSE,FALSE,NA,NA
"14","Association between Bioactive adrenomedullin and #ARDS could lead to improved accuracy ➕  new therapeutic strategie… https://t.co/0HXoRaKbFq",FALSE,0,NA,2023-04-27 06:09:00,TRUE,NA,"1651468467827273729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ICMexperimental",0,FALSE,FALSE,NA,NA
"15","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 06:08:55,FALSE,NA,"1651468448571207680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Richard80024379",1691,TRUE,FALSE,NA,NA
"16","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:08:53,FALSE,NA,"1651468441340239872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DannyQ03738735",59,TRUE,FALSE,NA,NA
"17","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 06:08:50,FALSE,NA,"1651468426324627456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jilel76",11,TRUE,FALSE,NA,NA
"18","RT @ExeterMed: A world-leading international trial into the immune boosting benefits of a tuberculosis vaccine has found it does not protec…",FALSE,0,NA,2023-04-27 06:08:09,FALSE,NA,"1651468256085962752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adilia76645023",1,TRUE,FALSE,NA,NA
"19","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:07:44,FALSE,NA,"1651468148837679105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jabattoir13",59,TRUE,FALSE,NA,NA
"20","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 06:07:40,FALSE,NA,"1651468133012586497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","floridahottubs",1691,TRUE,FALSE,NA,NA
"21","RT @GopiSpeaks: As #Delhi gasped during #Covid; #Kejriwal spent ₹45 cr on #SheeshMahal! 

Curtains ₹1Cr
kitchen ₹63L
Almaris ₹43L
Vietnam m…",FALSE,0,NA,2023-04-27 06:07:18,FALSE,NA,"1651468040092155905",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SADHUSHARANSAH4",13,TRUE,FALSE,NA,NA
"22","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 06:06:26,FALSE,NA,"1651467822453882880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Maranocean",11,TRUE,FALSE,NA,NA
"23","Good Morning To All...

#trendingpost #fit #fiitformacion #developer #Kelambakkam #chennai #TamilnaduNews #viral… https://t.co/8zgiET2HZa",FALSE,0,NA,2023-04-27 06:06:11,TRUE,NA,"1651467760977973248",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kavitha_mokshi",0,FALSE,FALSE,NA,NA
"24","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 06:05:38,FALSE,NA,"1651467620464435203",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaligirlLeftie",184,TRUE,FALSE,NA,NA
"25","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:05:21,FALSE,NA,"1651467552160387080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DEA70441610",59,TRUE,FALSE,NA,NA
"26","RT @iamguidodavid: NCR 7-day positivity rate up to 11.4% (from 7.5% a week ago). I have a friend from NCR who informed me they got Covid wi…",FALSE,0,NA,2023-04-27 06:05:15,FALSE,NA,"1651467525199364096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fraypanz",39,TRUE,FALSE,NA,NA
"27","#India logs 9,355 fresh #covid infections; active cases dip to 57,410 https://t.co/4mTwYjURQI",FALSE,0,NA,2023-04-27 06:05:06,FALSE,NA,"1651467486972493824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thetribunechd",0,FALSE,FALSE,NA,NA
"28","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 06:04:40,FALSE,NA,"1651467378650128386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HappyWar2000",137,TRUE,FALSE,NA,NA
"29","RT @PenGwenWithLC: I went through the Ballotpedia list of possible replacements for Biden because I can't support someone willing to discar…",FALSE,0,NA,2023-04-27 06:04:27,FALSE,NA,"1651467322081832960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PenGwenWithLC",5,TRUE,FALSE,NA,NA
"30","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 06:04:09,FALSE,NA,"1651467249201582083",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulieHe77448986",137,TRUE,FALSE,NA,NA
"31","RT @BurnetInstitute: New #COVID-19 subvariant #Arcturus on the rise in Australia. @profmiketoole tells @abcnews there's no evidence this st…",FALSE,0,NA,2023-04-27 06:04:09,FALSE,NA,"1651467248337551363",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Truth89821534",17,TRUE,FALSE,NA,NA
"32","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:04:00,FALSE,NA,"1651467212732129280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Cynthia14720564",59,TRUE,FALSE,NA,NA
"33","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 06:03:49,FALSE,NA,"1651467162903789570",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","WendyfWilson",11,TRUE,FALSE,NA,NA
"34","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:03:21,FALSE,NA,"1651467048227094528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Linda40903643",59,TRUE,FALSE,NA,NA
"35","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 06:03:09,FALSE,NA,"1651466995538305024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","doesitreally23",59,TRUE,FALSE,NA,NA
